Drill Listing
=============
Drill: .01181  Tool: 1  Feed: 95  Speed: 300
X 135000  Y 103000
X 141000  Y 124000
X 123000  Y 132000
X 137000  Y 132000
X 145000  Y 139000
X 137000  Y 140000
X 123000  Y 140000
X 145000  Y 183000
X 183000  Y 181000
X 161000  Y 143000
X 171000  Y 135000
X 179000  Y 130000
X 174000  Y 127000
X 181000  Y 124000
X 190000  Y 149000
X 208000  Y 156000
X 208000  Y 170000
X 205000  Y 173000
X 232000  Y 181000
X 231000  Y 178000
X 217000  Y 176000
X 231000  Y 174000
X 233000  Y 168000
X 233000  Y 165000
X 214000  Y 163000
X 233000  Y 158000
X 233000  Y 155000
X 212000  Y 151000
X 233000  Y 149000
X 215000  Y 149000
X 233000  Y 146000
X 216000  Y 146000
X 220000  Y 140000
X 215000  Y 137000
X 229000  Y 136000
X 216000  Y 133000
X 223000  Y 125000
X 234000  Y 108000
X 243000  Y 105000
X 254000  Y 112000
X 256000  Y 115000
X 236000  Y 125000
X 244000  Y 125000
X 244000  Y 128000
X 254000  Y 128000
X 256000  Y 138000
X 248000  Y 138000
X 241000  Y 138000
X 242000  Y 141000
X 257000  Y 148000
X 253000  Y 171000
X 250000  Y 172000
X 237000  Y 172000
X 238000  Y 182000
X 263000  Y 183000
X 262000  Y 163000
X 267000  Y 161000
X 261000  Y 157000
X 267000  Y 157000
X 279000  Y 157000
X 267000  Y 152000
X 283000  Y 149000
X 267000  Y 148000
X 278000  Y 143000
X 261000  Y 141000
X 279000  Y 137000
X 270000  Y 133000
X 290000  Y 152000
X 289000  Y 159000
X 299000  Y 160000
X 308000  Y 160000
X 285000  Y 167000
X 299000  Y 174000
X 308000  Y 174000
X 289000  Y 175000
Drill: .03543  Tool: 2  Feed: 197  Speed: 550
X 129000  Y 109000
X 129000  Y 119000
X 118500  Y 167500
X 128500  Y 167500
X 126000  Y 189000
X 126000  Y 199000
X 136000  Y 199000
X 146000  Y 199000
X 156000  Y 199000
X 136000  Y 189000
X 146000  Y 189000
X 156000  Y 189000
X 149000  Y 119000
X 139000  Y 119000
X 159000  Y 119000
X 159000  Y 109000
X 149000  Y 109000
X 139000  Y 109000
X 169000  Y 109000
X 179000  Y 109000
X 179000  Y 119000
X 169000  Y 119000
X 166000  Y 189000
X 176000  Y 189000
X 176000  Y 199000
X 166000  Y 199000
X 186000  Y 199000
X 196000  Y 199000
X 206000  Y 199000
X 186000  Y 189000
X 196000  Y 189000
X 206000  Y 189000
X 209000  Y 119000
X 199000  Y 119000
X 189000  Y 119000
X 189000  Y 109000
X 209000  Y 109000
X 199000  Y 109000
X 219000  Y 109000
X 229000  Y 109000
X 229000  Y 119000
X 219000  Y 119000
X 216000  Y 189000
X 226000  Y 189000
X 226000  Y 199000
X 216000  Y 199000
X 236000  Y 199000
X 246000  Y 199000
X 256000  Y 199000
X 236000  Y 189000
X 246000  Y 189000
X 256000  Y 189000
X 259000  Y 119000
X 249000  Y 119000
X 239000  Y 119000
X 239000  Y 109000
X 259000  Y 109000
X 249000  Y 109000
X 269000  Y 109000
X 279000  Y 109000
X 279000  Y 119000
X 269000  Y 119000
X 266000  Y 189000
X 276000  Y 189000
X 276000  Y 199000
X 266000  Y 199000
X 286000  Y 199000
X 296000  Y 199000
X 306000  Y 199000
X 286000  Y 189000
X 296000  Y 189000
X 306000  Y 189000
X 289000  Y 119000
X 299000  Y 119000
X 309000  Y 119000
X 309000  Y 109000
X 289000  Y 109000
X 299000  Y 109000
X 319000  Y 109000
X 319000  Y 119000
X 316000  Y 189000
X 316000  Y 199000
Drill: .037  Tool: 3  Feed: 197  Speed: 550
X 307000  Y 137000
X 297000  Y 137000
X 287000  Y 137000
X 317000  Y 137000
X 327000  Y 137000
Drill: .10827  Tool: 4  Feed: 69  Speed: 658
X 109826  Y 113488
X 338173  Y 113000
End of Listing
